"id_item","est_dans_id_item","date_est_dans"
20872,30044,11-juil.-07
20873,30020,11-juil.-07
20874,30020,11-juil.-07
20875,30067,11-juil.-07
20876,30067,11-juil.-07
20877,30067,11-juil.-07
20878,30350,11-juil.-07
20879,30426,11-juil.-07
20880,30497,11-juil.-07
20881,30394,11-juil.-07
20883,30125,11-juil.-07
20884,30125,11-juil.-07
20885,30069,11-juil.-07
20886,30069,11-juil.-07
20887,30069,11-juil.-07
20888,30015,11-juil.-07
20889,30105,11-juil.-07
20890,30297,11-juil.-07
20892,30393,03-sept.-08
20893,30121,11-juil.-07
20894,30121,11-juil.-07
20895,30121,11-juil.-07
20896,30121,11-juil.-07
20897,30101,11-juil.-07
20898,30101,11-juil.-07
20899,30101,11-juil.-07
20900,30101,11-juil.-07
20901,30020,11-juil.-07
20902,30135,11-juil.-07
20903,30299,11-juil.-07
20904,30054,11-juil.-07
20905,30011,11-juil.-07
20906,30011,11-juil.-07
20907,30236,11-juil.-07
20908,30300,11-juil.-07
20909,30301,11-juil.-07
20910,30107,11-juil.-07
20911,30137,11-juil.-07
20912,30135,11-juil.-07
20913,30135,11-juil.-07
20914,30135,11-juil.-07
20915,30133,11-juil.-07
20916,30133,11-juil.-07
20917,30107,11-juil.-07
20918,30107,11-juil.-07
20919,30107,11-juil.-07
20920,30107,11-juil.-07
20921,30107,11-juil.-07
20922,30107,11-juil.-07
20923,30081,11-juil.-07
20924,30007,11-juil.-07
20925,30083,11-juil.-07
20926,30108,11-juil.-07
20927,30369,11-juil.-07
20928,30369,11-juil.-07
20929,30369,11-juil.-07
20930,30369,11-juil.-07
20931,30369,11-juil.-07
20932,30369,11-juil.-07
20933,30303,11-juil.-07
20934,30303,11-juil.-07
20935,30303,11-juil.-07
20936,30020,11-juil.-07
20937,30005,11-juil.-07
20938,30495,11-juil.-07
20939,30136,11-juil.-07
20940,30425,11-juil.-07
20941,30400,11-juil.-07
20942,30304,11-juil.-07
20943,30305,11-juil.-07
20944,30305,11-juil.-07
20945,30305,11-juil.-07
20946,30047,11-juil.-07
20947,30047,11-juil.-07
20948,30136,11-juil.-07
20949,30378,11-juil.-07
20950,30064,11-juil.-07
20951,30020,11-juil.-07
20953,30067,11-juil.-07
20954,30068,11-juil.-07
20955,30070,11-juil.-07
20956,30280,11-juil.-07
20957,30071,11-juil.-07
20958,30020,11-juil.-07
20959,30363,11-juil.-07
20960,30135,11-juil.-07
20961,30369,11-juil.-07
20962,30410,11-juil.-07
20963,30190,11-juil.-07
20964,30073,11-juil.-07
20965,30307,11-juil.-07
20966,30081,11-juil.-07
20967,30085,11-juil.-07
20968,30068,11-juil.-07
20969,30324,11-juil.-07
20970,30308,11-juil.-07
20971,30309,11-juil.-07
20972,30121,11-juil.-07
20973,30068,11-juil.-07
20974,30068,11-juil.-07
20975,30068,11-juil.-07
20976,30068,11-juil.-07
20977,30068,11-juil.-07
20978,30068,11-juil.-07
20979,30068,11-juil.-07
20980,30068,11-juil.-07
20981,30068,11-juil.-07
20982,30068,11-juil.-07
20983,30068,11-juil.-07
20984,30068,11-juil.-07
20985,30068,11-juil.-07
20986,30310,11-juil.-07
20987,30068,11-juil.-07
20988,30411,11-juil.-07
20989,30020,11-juil.-07
20990,30271,11-juil.-07
20991,30310,11-juil.-07
20992,30007,11-juil.-07
20993,30095,11-juil.-07
20994,30095,11-juil.-07
20995,30211,11-juil.-07
20996,30007,11-juil.-07
20997,30020,11-juil.-07
20998,30042,11-juil.-07
20999,30328,11-juil.-07
21000,30481,11-juil.-07
21001,30313,11-juil.-07
21002,30313,11-juil.-07
21003,30313,11-juil.-07
21004,30313,11-juil.-07
21005,30313,11-juil.-07
21006,30427,11-juil.-07
21007,30007,11-juil.-07
21008,30076,11-juil.-07
21009,30255,11-juil.-07
21010,30015,11-juil.-07
21011,30020,11-juil.-07
21012,30046,11-juil.-07
21013,30020,11-juil.-07
