"id_item","nom","autre_nom","id_type_item","date_item","remarques_item"
20346,"Blomia tjibodas",,4,11-juil.-07,
20347,"Blomia tropicalis",,4,11-juil.-07,
20348,"Boehmeria cylindrica",,4,11-juil.-07,
20349,"Boehmeria nivea",,4,11-juil.-07,
20350,"Boletus edulis",,4,11-juil.-07,
20351,"Carya spp.",,4,11-juil.-07,
20352,"Castanea spp.",,4,11-juil.-07,
20353,"Bolinus brandaris",,4,11-juil.-07,
20354,"Bombax ceiba",,4,11-juil.-07,
20355,"Bombus pennsylvanicus",,4,11-juil.-07,
20356,"Bombus spp.",,4,11-juil.-07,
20357,"Bombus terrestris",,4,11-juil.-07,
20358,"Bombyx mori",,4,11-juil.-07,
20359,"Borago officinalis",,4,11-juil.-07,
20360,"Borassus flabellifer",,4,11-juil.-07,
20361,"Borrelia burgdorferi",,4,11-juil.-07,
20362,"Bos taurus","Bos domesticus",4,11-juil.-07,"Bos domesticus n'existe pas dans NEWT ni dans ITIS. Mais B. domesticus gardé du fait des IUIS"
20363,"Boswellia spp.",,4,11-juil.-07,
20364,"Bothrops alternatus",,4,11-juil.-07,
20365,"Botrytis cinerea",,4,11-juil.-07,
20366,"Bougainvillea glabra",,4,11-juil.-07,"ancien Bougainvillea spp"
20367,"Bouteloua gracilis",,4,11-juil.-07,
20369,"Brassica campestris",,4,11-juil.-07,
20370,"Brassica juncea","Sinapis juncea",4,11-juil.-07,
20371,"Brassica napus oleifera",,4,14-déc.-09,"Taxon = 3708  (tandis que Brassica rapa: taxon = 3711)"
20372,"Brassica napus napobrassica",,4,11-juil.-07,
20374,"Brassica nigra","Sinapis nigra",4,11-juil.-07,
20375,"Brassica oleracea alboglabra",,4,11-juil.-07,
20376,"Brassica oleracea botrytis",,4,11-juil.-07,
20377,"Brassica oleracea botrytis cauliflora",,4,11-juil.-07,
20378,"Brassica oleracea capitata",,4,11-juil.-07,
20379,"Brassica oleracea gemmifera",,4,11-juil.-07,
20380,"Brassica oleracea gongyloides",,4,11-juil.-07,
20381,"Brassica oleracea italica",,4,11-juil.-07,
20382,"Brassica oleracea viridis",,4,11-juil.-07,
20383,"Brassica rapa oleifera",,4,14-déc.-09,
20384,"Brassica rapa chinensis",,4,11-juil.-07,
20385,"Brassica rapa rapa",,4,11-juil.-07,
20386,"Briza media",,4,11-juil.-07,
20387,"Bromus arvensis",,4,11-juil.-07,
20388,"Bromus inermis",,4,11-juil.-07,
20389,"Bromus spp.",,4,11-juil.-07,
20390,"Broussonetia papyrifera",,4,11-juil.-07,
20391,"Bruchus lentis",,4,11-juil.-07,
20392,"Chamaecyparis spp.",,4,11-juil.-07,
20393,"Cladosporium spp.",,4,11-juil.-07,
20394,"Clupea spp.",,4,11-juil.-07,
20396,"Conger spp.",,4,11-juil.-07,
20397,"Curvularia spp.",,4,11-juil.-07,
20398,"Ulmus minor",,4,11-juil.-07,"bon nom d'espèce ??"
20399,"Capsicum spp.",,4,11-juil.-07,
20400,"Mimachlamys nobilis","Chlamys nobilis",4,11-juil.-07,
20402,"Bryobia spp.",,4,11-juil.-07,
20403,"Bryonia spp.",,4,11-juil.-07,
20404,"Bubalus bubalis",,4,11-juil.-07,"ancien Bubalus spp."
20405,"Buccinum undatum",,4,11-juil.-07,
20406,"Buchloe spp.",,4,11-juil.-07,
20407,"Buddleja davidii",,4,11-juil.-07,
20408,"Buphthalmum salicifolium",,4,11-juil.-07,
20409,"Buxus sempervirens",,4,11-juil.-07,
20410,"Caenorhabditis elegans",,4,11-juil.-07,
20411,"Caesalpinia spp.",,4,11-juil.-07,
20412,"Cajanus cajan",,4,11-juil.-07,"Cajanus indicus: pas valide"
20413,"Calamagrostis spp.",,4,11-juil.-07,
20414,"Calceolaria spp.",,4,11-juil.-07,
